stop_id;stop_name;stop_desc;zone_id;type
par_4_1;PLAZA DE CASTILLA;Paseo de la Castellana 189;A;Metro
par_4_10;TRIBUNAL;Calle de Fuencarral 81;A;Metro
par_4_11;GRAN VIA;Calle   Gran Vía 23;A;Metro
par_4_12;SOL;Plaza de la Puerta del Sol 6;A;Metro
par_4_13;TIRSO DE MOLINA;Plaza de Tirso de Molina 7;A;Metro
par_4_14;ANTON MARTIN;Calle de Atocha 50;A;Metro
par_4_15;ESTACION DEL ARTE;Plaza del Emperador Carlos V 11;A;Metro
par_4_16;ATOCHA;Avda de la Ciudad de Barcelona 2 B;A;Metro
par_4_17;MENENDEZ PELAYO;Avda de la Ciudad de Barcelona 23;A;Metro
par_4_18;PACIFICO;Avda de la Ciudad de Barcelona 79;A;Metro
par_4_19;PUENTE DE VALLECAS;Avda de la Albufera 1;A;Metro
par_4_2;VALDEACEDERAS;Calle de Bravo Murillo 332;A;Metro
par_4_20;NUEVA NUMANCIA;Avda de la Albufera 70;A;Metro
par_4_21;PORTAZGO;Avda de la Albufera 131;A;Metro
par_4_22;BUENOS AIRES;Avda de la Albufera 179;A;Metro
par_4_23;ALTO DEL ARENAL;Calle de Santillana del Mar 21;A;Metro
par_4_24;MIGUEL HERNANDEZ;Calle de León Felipe 4 A;A;Metro
par_4_25;SIERRA DE GUADALUPE;Avda de la Democracia 1;A;Metro
par_4_26;VILLA DE VALLECAS;Paseo de Federico García Lorca 2;A;Metro
par_4_261;CHAMARTIN;Calle de Agustín de Foxá 40;A;Metro
par_4_262;BAMBU;Calle del Bambú 14;A;Metro
par_4_263;PINAR DE CHAMARTIN;Calle de Arturo Soria 330;A;Metro
par_4_27;CONGOSTO;Calle del Congosto 48;A;Metro
par_4_293;LA GAVIA;Avda del Ensanche de Vallecas 16;A;Metro
par_4_294;LAS SUERTES;Calle de Cañada del Santísimo 45;A;Metro
par_4_295;VALDECARROS;Avda del Ensanche de Vallecas 120 A;A;Metro
par_4_3;TETUAN;Calle de Bravo Murillo 264;A;Metro
par_4_4;ESTRECHO;Calle de Bravo Murillo 191;A;Metro
par_4_5;ALVARADO;Calle de Bravo Murillo 138;A;Metro
par_4_6;CUATRO CAMINOS;Gta de Cuatro Caminos 2;A;Metro
par_4_7;RIOS ROSAS;Calle de Ríos Rosas 22;A;Metro
par_4_8;IGLESIA;Gta del Pintor Sorolla 2;A;Metro
par_4_9;BILBAO;Calle de Sagasta 2;A;Metro
est_90_21;Intercambiador de Plaza de Castilla;Paseo de la Castellana 189;A;Metro
est_90_25;Chamartín;Calle de Agustín de Foxá 40;A;Metro
est_90_54;Atocha-Renfe;Avda de la Ciudad de Barcelona 2 B;A;Metro
est_90_58;Puerta del Sol;Plaza de la Puerta del Sol 6;A;Metro
est_4_10;TRIBUNAL;Calle de Fuencarral 81;A;Metro
est_4_11;GRAN VIA;Calle   Gran Vía 23;A;Metro
est_4_13;TIRSO DE MOLINA;Plaza de Tirso de Molina 7;A;Metro
est_4_14;ANTON MARTIN;Calle de Atocha 50;A;Metro
est_4_15;ESTACION DEL ARTE;Plaza del Emperador Carlos V 11;A;Metro
est_4_17;MENENDEZ PELAYO;Avda de la Ciudad de Barcelona 23;A;Metro
est_4_18;PACIFICO;Avda de la Ciudad de Barcelona 79;A;Metro
est_4_19;PUENTE DE VALLECAS;Avda de la Albufera 1;A;Metro
est_4_2;VALDEACEDERAS;Calle de Bravo Murillo 332;A;Metro
est_4_20;NUEVA NUMANCIA;Avda de la Albufera 70;A;Metro
est_4_21;PORTAZGO;Avda de la Albufera 131;A;Metro
est_4_22;BUENOS AIRES;Avda de la Albufera 179;A;Metro
est_4_23;ALTO DEL ARENAL;Calle de Santillana del Mar 21;A;Metro
est_4_24;MIGUEL HERNANDEZ;Calle de León Felipe 4 A;A;Metro
est_4_25;SIERRA DE GUADALUPE;Avda de la Democracia 1;A;Metro
est_4_26;VILLA DE VALLECAS;Paseo de Federico García Lorca 2;A;Metro
est_4_262;BAMBU;Calle del Bambú 14;A;Metro
est_4_263;PINAR DE CHAMARTIN;Calle de Arturo Soria 330;A;Metro
est_4_27;CONGOSTO;Calle del Congosto 48;A;Metro
est_4_293;LA GAVIA;Avda del Ensanche de Vallecas 16;A;Metro
est_4_294;LAS SUERTES;Calle de Cañada del Santísimo 45;A;Metro
est_4_295;VALDECARROS;Avda del Ensanche de Vallecas 120 A;A;Metro
est_4_3;TETUAN;Calle de Bravo Murillo 264;A;Metro
est_4_4;ESTRECHO;Calle de Bravo Murillo 191;A;Metro
est_4_5;ALVARADO;Calle de Bravo Murillo 138;A;Metro
est_4_6;CUATRO CAMINOS;Gta de Cuatro Caminos 2;A;Metro
est_4_7;RIOS ROSAS;Calle de Ríos Rosas 22;A;Metro
est_4_8;IGLESIA;Gta del Pintor Sorolla 2;A;Metro
est_4_9;BILBAO;Calle de Sagasta 2;A;Metro
par_4_260;LA ELIPA;Avda del Marqués de Corbera 58;A;Metro
par_4_28;VENTAS;Calle de Alcalá 204;A;Metro
par_4_29;MANUEL BECERRA;Plaza de Manuel Becerra 1;A;Metro
par_4_30;GOYA;Calle de Alcalá 96;A;Metro
par_4_31;PRINCIPE DE VERGARA;Calle de Alcalá 123;A;Metro
par_4_32;RETIRO;Calle de Alcalá 81;A;Metro
par_4_322;LA ALMUDENA;Calle de Arriaga 75;A;Metro
par_4_323;ALSACIA;Plaza de Alsacia S/N;A;Metro
par_4_324;AVENIDA DE GUADALAJARA;Avda de Guadalajara 110;A;Metro
par_4_325;LAS ROSAS;Paseo de Ginebra 35;A;Metro
par_4_33;BANCO DE ESPAÑA;Calle de Alcalá 49;A;Metro
par_4_34;SEVILLA;Calle de Alcalá 23;A;Metro
par_4_35;SOL;Plaza de la Puerta del Sol 6;A;Metro
par_4_36;OPERA;Plaza de Isabel II 9;A;Metro
par_4_37;SANTO DOMINGO;Calle de San Bernardo 11;A;Metro
par_4_38;NOVICIADO;Calle de San Bernardo 49;A;Metro
par_4_39;SAN BERNARDO;Calle de San Bernardo 94;A;Metro
par_4_40;QUEVEDO;Gta de Quevedo 1;A;Metro
par_4_41;CANAL;Calle de Bravo Murillo 40;A;Metro
par_4_42;CUATRO CAMINOS;Gta de Cuatro Caminos 10;A;Metro
est_4_260;LA ELIPA;Avda del Marqués de Corbera 58;A;Metro
est_4_28;VENTAS;Calle de Alcalá 204;A;Metro
est_4_29;MANUEL BECERRA;Plaza de Manuel Becerra 1;A;Metro
est_4_30;GOYA;Calle de Alcalá 96;A;Metro
est_4_31;PRINCIPE DE VERGARA;Calle de Alcalá 123;A;Metro
est_4_32;RETIRO;Calle de Alcalá 81;A;Metro
est_4_322;LA ALMUDENA;Calle de Arriaga 75;A;Metro
est_4_323;ALSACIA;Plaza de Alsacia S/N;A;Metro
est_4_324;AVENIDA DE GUADALAJARA;Avda de Guadalajara 110;A;Metro
est_4_325;LAS ROSAS;Paseo de Ginebra 35;A;Metro
est_4_33;BANCO DE ESPAÑA;Calle de Alcalá 49;A;Metro
est_4_34;SEVILLA;Calle de Alcalá 23;A;Metro
est_4_36;OPERA;Plaza de Isabel II 9;A;Metro
est_4_37;SANTO DOMINGO;Calle de San Bernardo 11;A;Metro
est_4_39;SAN BERNARDO;Calle de San Bernardo 94;A;Metro
est_4_40;QUEVEDO;Gta de Quevedo 1;A;Metro
est_4_41;CANAL;Calle de Bravo Murillo 40;A;Metro
par_4_267;ALMENDRALES;Avda de Córdoba 21;A;Metro
par_4_268;HOSPITAL 12 DE OCTUBRE;Avda de Córdoba 49;A;Metro
par_4_269;SAN FERMIN-ORCASUR;Avda de Andalucía 9;A;Metro
par_4_270;CIUDAD DE LOS ANGELES;Avda de Andalucía 38;A;Metro
par_4_271;VILLAVERDE BAJO CRUCE;Avda de Andalucía 38;A;Metro
par_4_272;SAN CRISTOBAL;Avda de Andalucía 81;A;Metro
par_4_273;VILLAVERDE ALTO;Calle del Valle de Tobalina 56;A;Metro
par_4_43;LEGAZPI;Plaza de Legazpi 2 B;A;Metro
par_4_44;DELICIAS;Paseo de las Delicias 60;A;Metro
par_4_45;PALOS DE LA FRONTERA;Calle de Palos de la Frontera 33;A;Metro
par_4_46;EMBAJADORES;Gta de Embajadores 10;A;Metro
par_4_47;LAVAPIES;Plaza de Lavapiés 7;A;Metro
par_4_48;SOL;Plaza de la Puerta del Sol 6;A;Metro
par_4_49;CALLAO;Plaza del Callao 3;A;Metro
par_4_50;PLAZA DE ESPAÑA;Plaza de España 1;A;Metro
par_4_51;VENTURA RODRIGUEZ;Calle de la Princesa 22;A;Metro
par_4_52;ARGÜELLES;Calle de Alberto Aguilera 72;A;Metro
par_4_53;MONCLOA;Plaza de la Moncloa 1;A;Metro
est_90_14;Intercambiador de Moncloa;Plaza de la Moncloa 1;A;Metro
est_4_267;ALMENDRALES;Avda de Córdoba 21;A;Metro
est_4_268;HOSPITAL 12 DE OCTUBRE;Avda de Córdoba 49;A;Metro
est_4_269;SAN FERMIN-ORCASUR;Avda de Andalucía 9;A;Metro
est_4_270;CIUDAD DE LOS ANGELES;Avda de Andalucía 38;A;Metro
est_4_271;VILLAVERDE BAJO CRUCE;Avda de Andalucía 38;A;Metro
est_4_272;SAN CRISTOBAL;Avda de Andalucía 81;A;Metro
est_4_273;VILLAVERDE ALTO;Calle del Valle de Tobalina 56;A;Metro
est_4_43;LEGAZPI;Plaza de Legazpi 2 B;A;Metro
est_4_44;DELICIAS;Paseo de las Delicias 60;A;Metro
est_4_45;PALOS DE LA FRONTERA;Calle de Palos de la Frontera 33;A;Metro
